r (m)	z (m)	Br (T)	Bz (T)	B (T)	Theta (°)	Ic (A)	I (A)	I/Ic (%)
0.002261	-0.106486	-0.007423	0.028029	0.028996	104.832675	--	0.000000	--
0.001958	-0.106541	-0.009024	0.025293	0.026855	109.634091	--	0.000000	--
0.003803	-0.106657	-0.014714	0.027685	0.031352	117.989016	--	0.000000	--
0.002826	-0.106471	-0.011740	0.026402	0.028895	113.973620	--	0.000000	--
0.004802	-0.107476	-0.000937	0.023193	0.023212	92.312699	--	0.000000	--
0.005054	-0.107799	-0.000417	0.022472	0.022476	91.064019	--	0.000000	--
0.005709	-0.108808	-0.046245	0.010855	0.047502	166.789874	--	0.000000	--
0.001398	-0.106663	-0.004179	0.026630	0.026956	98.918507	--	0.000000	--
0.004198	-0.106878	-0.015408	0.022468	0.027243	124.441203	--	0.000000	--
0.005439	-0.108290	-0.000880	0.022331	0.022348	92.256759	--	0.000000	--
0.003136	-0.106406	-0.011974	0.029061	0.031431	112.392974	--	0.000000	--
0.000875	-0.107192	-0.001406	0.022998	0.023041	93.499043	--	0.000000	--
0.000726	-0.107329	-0.002068	0.023729	0.023819	94.981952	--	0.000000	--
0.001029	-0.106967	-0.005292	0.025099	0.025651	101.905069	--	0.000000	--
0.000570	-0.107377	0.002118	0.022485	0.022584	84.619727	--	0.000000	--
0.002528	-0.106297	-0.012259	0.030520	0.032890	111.884605	--	0.000000	--
0.001794	-0.106320	-0.006539	0.031576	0.032246	101.699111	--	0.000000	--
0.001526	-0.106400	-0.006979	0.027706	0.028572	104.138654	--	0.000000	--
0.000299	-0.107361	0.002732	0.022390	0.022556	83.043612	--	0.000000	--
0.000745	-0.107237	0.001633	0.022664	0.022722	85.878023	--	0.000000	--
0.000068	-0.107410	-0.000000	0.034576	0.034576	90.000000	--	0.000000	--
0.000874	-0.107058	-0.002644	0.023018	0.023169	96.553469	--	0.000000	--
0.003786	-0.106181	-0.014510	0.027749	0.031314	117.604853	--	0.000000	--
0.001185	-0.106608	-0.005996	0.027049	0.027706	102.498999	--	0.000000	--
0.003203	-0.106069	-0.013204	0.028947	0.031816	114.519221	--	0.000000	--
0.001032	-0.106778	-0.002920	0.025279	0.025447	96.588897	--	0.000000	--
0.006441	-0.109096	-0.054198	0.007626	0.054732	171.990359	--	0.000000	--
0.000485	-0.107332	0.000748	0.024885	0.024896	88.277460	--	0.000000	--
0.003468	-0.105895	-0.014820	0.033937	0.037032	113.589775	--	0.000000	--
0.005125	-0.107174	-0.002161	0.023105	0.023206	95.342429	--	0.000000	--
0.006097	-0.108640	-0.047356	0.019784	0.051322	157.326272	--	0.000000	--
0.000378	-0.107331	-0.000799	0.022192	0.022207	92.062482	--	0.000000	--
0.004592	-0.106623	-0.019966	0.026725	0.033360	126.763115	--	0.000000	--
0.005444	-0.107731	-0.001759	0.022995	0.023062	94.375515	--	0.000000	--
0.005640	-0.108043	-0.001398	0.022435	0.022478	93.564761	--	0.000000	--
0.000220	-0.107281	-0.001183	0.024456	0.024484	92.769506	--	0.000000	--
0.000096	-0.107324	0.012478	0.023052	0.026212	61.573257	--	0.000000	--
0.000153	-0.107278	0.001673	0.020283	0.020352	85.285996	--	0.000000	--
0.002598	-0.106000	-0.011133	0.029672	0.031692	110.566123	--	0.000000	--
0.007321	-0.109277	-0.061545	-0.003764	0.061660	-176.500000	--	0.000000	--
0.001859	-0.105976	-0.006493	0.030492	0.031175	102.020879	--	0.000000	--
0.006972	-0.108821	-0.050853	0.019842	0.054587	158.685240	--	0.000000	--
0.004161	-0.105927	-0.018007	0.033729	0.038235	118.096086	--	0.000000	--
0.001376	-0.106150	-0.006192	0.032560	0.033143	100.767404	--	0.000000	--
0.005067	-0.106781	-0.018628	0.022653	0.029328	129.431702	--	0.000000	--
0.002964	-0.105837	-0.012002	0.034781	0.036793	109.038595	--	0.000000	--
0.005504	-0.107395	-0.000968	0.022514	0.022535	92.462537	--	0.000000	--
0.006040	-0.108163	-0.000969	0.022833	0.022854	92.429333	--	0.000000	--
0.001097	-0.106389	-0.004058	0.030516	0.030785	97.574155	--	0.000000	--
0.000749	-0.107010	-0.004558	0.024080	0.024507	100.717935	--	0.000000	--
0.000619	-0.107181	-0.002349	0.023253	0.023371	95.767304	--	0.000000	--
0.004571	-0.106147	-0.017916	0.027456	0.032784	123.125359	--	0.000000	--
0.000829	-0.106711	-0.005883	0.025961	0.026619	102.767486	--	0.000000	--
0.000515	-0.107229	0.000896	0.023416	0.023433	87.809134	--	0.000000	--
0.002248	-0.105841	-0.011672	0.035191	0.037076	108.349292	--	0.000000	--
0.003456	-0.105536	-0.000448	0.034438	0.034441	90.744684	--	0.000000	--
0.001623	-0.105826	-0.007629	0.034638	0.035468	102.421669	--	0.000000	--
0.001406	-0.105919	-0.004821	0.031542	0.031908	98.690457	--	0.000000	--
0.001159	-0.106193	-0.004284	0.029092	0.029406	98.376754	--	0.000000	--
0.000367	-0.107228	0.001147	0.022697	0.022726	87.107670	--	0.000000	--
0.000625	-0.107088	-0.000463	0.023065	0.023070	91.149453	--	0.000000	--
0.000235	-0.107206	0.001148	0.021786	0.021817	86.983658	--	0.000000	--
0.000028	-0.107288	-0.000000	0.034778	0.034778	90.000000	--	0.000000	--
0.000700	-0.106853	-0.002332	0.026642	0.026744	95.002816	--	0.000000	--
0.002994	-0.105540	-0.000152	0.034729	0.034730	90.250840	--	0.000000	--
0.004031	-0.105441	-0.000659	0.035596	0.035602	91.060084	--	0.000000	--
